"Qty";"Value";"Device";"Package";"Parts";"Description";"DIGIKEY";"MF";"MPN";"OC_NEWARK";"PROD_ID";"TOL";"VALUE";
"2";"";"CONN_04";"1X04";"J1, J2";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"CONN-09696";"";"";
"3";"";"SOLDER_JUMPER";"SOLDER_JUMPER";"SJ1, SJ2, SJ3";"";"";"";"";"";"";"";"";
"9";"0.1uF";"C0402";"0402";"C1, C3, C6, C9, C10, C20, C21, C23, C24";"";"";"";"";"";"";"";"";
"2";"1.2pF";"C0402_0.1PF";"0402";"C16, C17";"";"";"";"";"";"";"0.1pF";"";
"1";"1.5K @ 100MHz";"FERRITE_BEAD_CC2650";"0603";"FB1";"";"490-5216-1-ND";"";"";"";"";"";"1.5K @ 100MHz";
"4";"10k";"R0402";"0402";"R1, R6, R10, R11";"";"";"";"";"";"";"";"";
"3";"10k";"R0402";"0402";"R2, R3, R5";"";"";"BOURNS, INC.";"CR0603-JW-103ELF";"02J2286";"";"";"";
"1";"10nF";"C0402";"0402";"C22";"";"";"";"";"";"";"";"";
"3";"10uF";"C0402";"0402";"C5, C8, C19";"";"";"";"";"";"";"";"";
"1";"10uH";"L0805";"0805";"L1";"";"";"";"";"";"";"";"";
"3";"12pF";"C0402_5%";"0402";"C2, C4, C18";"";"";"";"";"";"";"5%";"";
"1";"15nH";"L0402_0.3NH";"0402";"L2";"";"";"";"";"";"";"0.3nH";"";
"3";"1k";"R0402";"0402";"R7, R8, R9";"";"";"";"";"";"";"";"";
"1";"1uF";"C0402";"0402";"C7";"";"";"";"";"";"";"";"";
"1";"2.2uF";"C0402";"0402";"C13";"";"";"";"0603YC104K4Z2A";"26M5119";"";"";"";
"1";"24MHz";"XTAL_24MHZ_CC2650_HF";"TSX-3225";"Y1";"";"SER3635CT-ND";"";"";"";"";"";"24MHz";
"1";"2nH";"L0402_0.3NH";"0402";"L3";"";"";"";"";"";"";"0.3nH";"";
"1";"3.3V/150mA";"MIC52053.3V";"SOT23-5";"U3";"";"576-1259-1-ND";"ALTERA CORPORATION";"MIC5205-5.0YM5 TR";"26K2313";"";"";"3.3V/150mA";
"1";"32.768KHz";"XTAL_32.768KHZ_CC2650_LF";"FC-135";"Y2";"";"SER4089CT-ND";"";"";"";"";"";"32.768KHz";
"2";"4.7uF";"C0402";"0402";"C11, C12";"";"";"";"";"";"";"";"";
"1";"4.7uF";"C0402_TANT";"0402";"C15";"";"";"";"0603YC104K4Z2A";"26M5119";"";"";"";
"1";"470pF";"C0402";"0402";"C14";"";"";"";"0603YC104K4Z2A";"26M5119";"";"";"";
"1";"ANT";"ANT";"AN043_ANT_TRACE";"ANT";"";"";"";"";"";"";"";"";
"1";"BJT_NPN_PMBT3904M";"BJT_NPN_PMBT3904M";"SOT-883";"T1";"";"1727-6287-1-ND";"";"";"";"";"";"";
"1";"CC2650F128RHBR";"CC2650F128RHBR";"VFQFN-32";"U1";"";"296-44317-1-ND";"";"";"";"";"";"";
"1";"COAXIAL_SMDJ819-ND";"COAXIAL_SMDJ819-ND";"COAXIAL_SMD";"X1";"";"J819-ND";"";"";"";"";"";"";
"1";"DIODE_641-1753-1-ND";"DIODE_641-1753-1-ND";"SOD-923F";"D1";"";"641-1753-1-ND";"";"";"";"";"";"";
"1";"DNP";"C0402";"0402";"C25";"";"";"";"";"";"";"";"";
"1";"DNP";"R0402";"0402";"R4";"";"";"BOURNS, INC.";"CR0603-JW-103ELF";"02J2286";"";"";"";
"1";"LED_TRICOLOR_3.2X2.8";"LED_TRICOLOR_3.2X2.8";"LED_3.2X2.8";"LED1";"";"CLV1L-FKB-CHMMQEHBB7673673CT-ND";"";"";"";"";"";"";
"1";"LSM9DS1";"LSM9DS1";"LGA-24";"U4";"";"497-14946-1-ND";"";"";"";"";"";"";
"1";"MCP73831OT";"MCP73831OT";"SOT23-5";"U2";"";"MCP73831T-2ATI/OTCT-ND";"";"";"";"";"";"";
"1";"TACTILE_SWITCHES_CKN10839CT-ND";"TACTILE_SWITCHES_CKN10839CT-ND";"PTS820_J25M";"SW1";"";"CKN10839CT-ND";"";"";"";"";"";"";
"2";"TESTPAD";"TESTPAD";"WIREPAD_1.27_2.54";"TP12, TP13";"";"";"";"";"";"";"";"";
"4";"TESTPADBOTH";"TESTPADBOTH";"TESTPAD_1.27_BOTH_SIDE";"TP2, TP3, TP4, TP5";"";"";"";"";"";"";"";"";
"1";"USB_MICRO_B_609-4613-1-ND";"USB_MICRO_B_609-4613-1-ND";"USB_MICRO_B";"J3";"";"609-4613-1-ND";"";"";"";"";"";"";
