ref,price,pricebreak,qty,qtybreak,desc,tol,sku,url
"C1, C3, C6, C9, C10, C20, C21, C23, C24",0.15,0.04,"100,000",10,CAP CER 0.1UF 10V X5R 0402,,1276-1022-1-ND,https://www.digikey.ca/products/en?keywords=1276-1022-1-ND
"C16, C17",0.15,0.08,"100,000",10,CAP CER 1.2PF 50V C0G/NP0 0402,0.1pF,490-6209-1-ND,https://www.digikey.ca/products/en?keywords=490-6209-1-ND
FB1,0.31,0.23,"685,465",10,,,490-5216-1-ND,https://www.digikey.ca/products/en/?keywords=490-5216-1-ND
"R1, R6, R10, R11",0.16,0.11,"234,186",10,RES SMD 10K OHM 0.5% 1/16W 0402,,RR05P10.0KDCT-ND,https://www.digikey.ca/products/en?keywords=RR05P10.0KDCT-ND
"R2, R3, R5",0.16,0.11,"234,186",10,RES SMD 10K OHM 0.5% 1/16W 0402,,RR05P10.0KDCT-ND,https://www.digikey.ca/products/en?keywords=RR05P10.0KDCT-ND
C22,0.15,0.05,"100,000",10,CAP CER 10000PF 16V X7R 0402,,478-1114-1-ND,https://www.digikey.ca/products/en?keywords=478-1114-1-ND
"C5, C8, C19",0.33,0.21,"100,000",10,CAP CER 10UF 4V X5R 0402,,490-10693-1-ND,https://www.digikey.ca/products/en?keywords=490-10693-1-ND
L1,0.16,0.12,"43,711",10,FIXED IND 10UH 15MA 1.15 OHM SMD,,CV201210-100KCT-ND,https://www.digikey.ca/products/en?keywords=CV201210-100KCT-ND
"C2, C4, C18",0.15,0.05,"100,000",10,CAP CER 12PF 50V C0G/NP0 0402,5%,490-5924-1-ND,https://www.digikey.ca/products/en?keywords=490-5924-1-ND
"R7, R8, R9",0.16,0.11,"257,444",10,RES SMD 1K OHM 0.5% 1/16W 0402,,RR05P1.0KDCT-ND,https://www.digikey.ca/products/en?keywords=RR05P1.0KDCT-ND
C7,0.15,0.03,"100,000",10,CAP CER 1UF 6.3V X5R 0402,,1276-1235-1-ND,https://www.digikey.ca/products/en?keywords=1276-1235-1-ND
C13,0.16,0.10,"19,800",10,CAP CER 2.2UF 6.3V X6T 0402,,490-10449-1-ND,https://www.digikey.ca/products/en?keywords=490-10449-1-ND
Y1,0.53,0.44,"120,651",10,,,SER3635CT-ND,https://www.digikey.ca/products/en/?keywords=SER3635CT-ND
L3,0.16,0.09,"135,307",10,FIXED IND 2NH 900MA 100 MOHM SMD,0.3nH,490-6569-1-ND,https://www.digikey.ca/products/en?keywords=490-6569-1-ND
U3,0.64,0.53,"9,582",25,,,576-1259-1-ND,https://www.digikey.ca/products/en/?keywords=576-1259-1-ND
Y2,0.64,0.53,450,10,,,SER4089CT-ND,https://www.digikey.ca/products/en/?keywords=SER4089CT-ND
"C11, C12",0.23,0.16,"100,000",10,CAP CER 4.7UF 6.3V X5R 0402,,490-5915-1-ND,https://www.digikey.ca/products/en?keywords=490-5915-1-ND
C15,2.88,2.13,"26,369",10,CAP TANT 4.7UF 20% 10V 0402,,478-9392-1-ND,https://www.digikey.ca/products/en?keywords=478-9392-1-ND
C14,0.16,0.04,"100,000",10,CAP CER 470PF 50V X7R 0402,,311-1028-1-ND,https://www.digikey.ca/products/en?keywords=311-1028-1-ND
T1,0.40,0.32,"54,971",10,,,1727-6287-1-ND,https://www.digikey.ca/products/en/?keywords=1727-6287-1-ND
U1,9.93,8.86,"8,670",10,,,296-44317-1-ND,https://www.digikey.ca/products/en/?keywords=296-44317-1-ND
X1,5.27,5.04,"18,803",10,,,J819-ND,https://www.digikey.ca/products/en/?keywords=J819-ND
D1,0.54,0.49,"737,920",10,,,641-1753-1-ND,https://www.digikey.ca/products/en/?keywords=641-1753-1-ND
LED1,0.51,0.45,"4,765",100,,,CLV1L-FKB-CHMMQEHBB7673673CT-ND,https://www.digikey.ca/products/en/?keywords=CLV1L-FKB-CHMMQEHBB7673673CT-ND
U4,9.91,8.95,"10,810",10,,,497-14946-1-ND,https://www.digikey.ca/products/en/?keywords=497-14946-1-ND
U2,0.91,0.75,"17,723",25,,,MCP73831T-2ATI/OTCT-ND,https://www.digikey.ca/products/en/?keywords=MCP73831T-2ATI/OTCT-ND
SW1,0.75,0.71,"30,394",10,,,CKN10839CT-ND,https://www.digikey.ca/products/en/?keywords=CKN10839CT-ND
J3,0.62,0.57,"201,955",10,,,609-4613-1-ND,https://www.digikey.ca/products/en/?keywords=609-4613-1-ND
